Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;13;19;26;28.0;29.0;30
Stemmer ganske dårlig;12;13;13;17;16;18
Stemmer verken dårlig eller godt;22;21;20;20;21;16
Stemmer ganske godt;27;26;22;21;17;12
Stemmer svært godt;19;14.0;14.0;10;10;19
Vet ikke;7.0;7.0;5;4;7.0;5
