Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;10;8;7.0;5;6;3
Stemmer ganske dårlig;22;22;22;19;16;14.0
Stemmer verken dårlig eller godt;35;38;40;45;36;53
Stemmer ganske godt;18;20;15;19;22;14.0
Stemmer svært godt;7.0;8;10;8;12;13
Vet ikke;7.0;4;6;4;8;3
