Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;2;2;2;2;2;1
Stemmer ganske dårlig;1;2;3;3;3;3
Stemmer verken dårlig eller godt;11;15;14.0;18;20;18
Stemmer ganske godt;26;30;33;36;33;43
Stemmer svært godt;57.0;50;45;37;38;33
Vet ikke;3;2;3;3;5;1
