Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;21;29.0;37;44;40;51
Stemmer ganske dårlig;19;18;20;18;22;14.0
Stemmer verken dårlig eller godt;19;22;19;19;17;13
Stemmer ganske godt;22;18;15;11;11;13
Stemmer svært godt;14.0;10;6;4;5;4
Vet ikke;4;3;3;4;5;5
