Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;6;6;8;11;12;12
Stemmer ganske dårlig;6;6;5;7.0;9;6
Stemmer verken dårlig eller godt;23;28.0;30;29.0;33;39
Stemmer ganske godt;41;41;39;39;32;34
Stemmer svært godt;22;17;16;13;13;8
Vet ikke;2;1;3;1;3;1
