Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;11;12;18;17;19;25
Stemmer ganske dårlig;8;8;9;10;10;17
Stemmer verken dårlig eller godt;14.0;20;20;21;19;17
Stemmer ganske godt;32;33;27;32;28.0;16
Stemmer svært godt;27;20;20;15;17;20
Vet ikke;8;7.0;5;5;7.0;5
