Unnamed: 0;1;2;3;4;5;6
Ikke kommentert / I svært liten grad;19;22;24;26;29.0;31
I ganske liten grad;29.0;27;26;30;27;23
I verken liten eller stor grad;33;32;32;31;28.0;31
I ganske stor grad;12;13;10;10;8;7.0
I svært stor grad;1;1;1;1;0;1
Vet ikke;6;5;7.0;3;7.0;7.0
