Unnamed: 0;1;2;3;4;5;6
Ikke bekymret i det hele tatt;12;14.0;18;21;24;22
Litt bekymret;34;39;43;44;44;50
Ganske bekymret;35;32;24;25;18;16
Veldig bekymret;16;13;12;7.0;12;11
Vet ikke;3;2;3;3;3;1

