Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;20;27;36;44;39;49
Stemmer ganske dårlig;13;18;17;18;26;18
Stemmer verken dårlig eller godt;21;21;21;15;14.0;13
Stemmer ganske godt;23;18;16;15;9;11
Stemmer svært godt;18;12;8;5;7.0;4
Vet ikke;5;4;3;4;5;5
