Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;8;10;14.0;17;20;28.0
Stemmer ganske dårlig;12;15;14.0;14.0;17;15
Stemmer verken dårlig eller godt;23;22;26;22;24;29.0
Stemmer ganske godt;27;24;22;26;20;15
Stemmer svært godt;26;23;20;16;15;11
Vet ikke;5;6;5;5;4;2
