Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;9;12;14.0;18;15;16
Stemmer ganske dårlig;13;16;16;18;18;20
Stemmer verken dårlig eller godt;24;26;25;25;26;29.0
Stemmer ganske godt;28.0;24;20;21;19;18
Stemmer svært godt;10;8;9;5;6;4
Vet ikke;16;14.0;17;13;16;13
