Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;3;3;2;4;4;7.0
Stemmer ganske dårlig;5;6;5;5;6;5
Stemmer verken dårlig eller godt;15;20;18;16;22;20
Stemmer ganske godt;46;46;48;50;44;42
Stemmer svært godt;23;21;22;20;18;21
Vet ikke;7.0;5;6;6;5;5
