Unnamed: 0;1;2;3;4;5;6
Ikke bekymret i det hele tatt;7.0;6;7.0;7.0;11;11
Litt bekymret;23;27;27;30;31;32
Ganske bekymret;33;34;32;35;27;34
Veldig bekymret;34;31;32;27;27;24
Vet ikke;2;2;2;2;3;0
