Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;18;21;28.0;35;33;43
Stemmer ganske dårlig;13;19;18;17;19;10
Stemmer verken dårlig eller godt;21;24;24;20;21;20
Stemmer ganske godt;20;16;15;14.0;12;10
Stemmer svært godt;21;13;8;8;8;8
Vet ikke;7.0;6;7.0;7.0;7.0;8
