Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;11;15;19;22;28.0;29.0
Stemmer ganske dårlig;16;20;23;28.0;30;33
Stemmer verken dårlig eller godt;35;35;30;30;29.0;24
Stemmer ganske godt;22;19;15;10;5;11
Stemmer svært godt;5;4;4;2;2;0
Vet ikke;10;8;8;7.0;6;3
