Unnamed: 0;1;2;3;4;5;6
Stemmer svært dårlig;11;13;16;17;20;21
Stemmer ganske dårlig;8;10;10;15;11;9
Stemmer verken dårlig eller godt;23;29.0;29.0;29.0;29.0;37
Stemmer ganske godt;31;29.0;28.0;28.0;19;20
Stemmer svært godt;23;15;13;7.0;13;4
Vet ikke;4;4;4;4;7.0;9
