Svar,Mann,Kvinne
Ikke kommentert / I svært liten grad,31 ,21 
I ganske liten grad,26 ,27 
I verken liten eller stor grad,26 ,31 
I ganske stor grad,10 ,12 
I svært stor grad,1 ,1 
Vet ikke,5 ,8 
