Svar,Mann,Kvinne
Stemmer svært dårlig,14 ,8 
Stemmer ganske dårlig,7 ,6 
Stemmer verken dårlig eller godt,17 ,18 
Stemmer ganske godt,30 ,37 
Stemmer svært godt,30 ,20 
Vet ikke,2 ,11 
