Svar,Mann,Kvinne
Stemmer svært dårlig,39 ,9 
Stemmer ganske dårlig,33 ,53 
Stemmer verken dårlig eller godt,17 ,21 
Stemmer ganske godt,5 ,7 
Stemmer svært godt,3 ,3 
Vet ikke,3 ,7 
