Svar,Mann,Kvinne
Stemmer svært dårlig,3 ,1 
Stemmer ganske dårlig,3 ,2 
Stemmer verken dårlig eller godt,14 ,11 
Stemmer ganske godt,34 ,34 
Stemmer svært godt,44 ,48 
Vet ikke,2 ,3 
