Svar,Mann,Kvinne
Stemmer svært dårlig,15 ,4 
Stemmer ganske dårlig,19 ,9 
Stemmer verken dårlig eller godt,26 ,26 
Stemmer ganske godt,25 ,29 
Stemmer svært godt,8 ,8 
Vet ikke,7 ,24 
