Svar,Mann,Kvinne
Stemmer svært dårlig,19 ,8 
Stemmer ganske dårlig,12 ,9 
Stemmer verken dårlig eller godt,28 ,30 
Stemmer ganske godt,26 ,29 
Stemmer svært godt,11 ,15 
Vet ikke,3 ,8 
