Svar,Mann,Kvinne
Stemmer svært dårlig,37 ,17 
Stemmer ganske dårlig,18 ,14 
Stemmer verken dårlig eller godt,19 ,25 
Stemmer ganske godt,14 ,17 
Stemmer svært godt,9 ,14 
Vet ikke,4 ,13 
