Svar,Mann,Kvinne
Stemmer svært dårlig,15 ,20 
Stemmer ganske dårlig,29 ,35 
Stemmer verken dårlig eller godt,33 ,23 
Stemmer ganske godt,10 ,4 
Stemmer svært godt,4 ,1 
Vet ikke,10 ,16 
