Svar,Mann,Kvinne
Stemmer svært dårlig,42 ,27 
Stemmer ganske dårlig,17 ,17 
Stemmer verken dårlig eller godt,18 ,21 
Stemmer ganske godt,14 ,16 
Stemmer svært godt,9 ,9 
Vet ikke,1 ,10 
