Svar,Mann,Kvinne
Stemmer svært dårlig,18 ,8 
Stemmer ganske dårlig,17 ,14 
Stemmer verken dårlig eller godt,27 ,26 
Stemmer ganske godt,21 ,23 
Stemmer svært godt,15 ,18 
Vet ikke,3 ,11 
