Svar,Mann,Kvinne
Stemmer svært dårlig,39 ,23 
Stemmer ganske dårlig,18 ,18 
Stemmer verken dårlig eller godt,20 ,24 
Stemmer ganske godt,14 ,17 
Stemmer svært godt,7 ,10 
Vet ikke,1 ,9 
