Svar,Mann,Kvinne
Stemmer svært dårlig,10 ,4 
Stemmer ganske dårlig,8 ,3 
Stemmer verken dårlig eller godt,28 ,26 
Stemmer ganske godt,37 ,41 
Stemmer svært godt,15 ,23 
Vet ikke,2 ,3 
