Svar,Mann,Kvinne
Stemmer svært dårlig,23 ,10 
Stemmer ganske dårlig,25 ,20 
Stemmer verken dårlig eller godt,29 ,32 
Stemmer ganske godt,14 ,21 
Stemmer svært godt,3 ,7 
Vet ikke,6 ,11 
