Svar,Mann,Kvinne
Stemmer svært dårlig,4 ,2 
Stemmer ganske dårlig,8 ,5 
Stemmer verken dårlig eller godt,24 ,18 
Stemmer ganske godt,45 ,48 
Stemmer svært godt,14 ,19 
Vet ikke,6 ,7 
