Svar,Mann,Kvinne
Stemmer svært dårlig,8 ,11 
Stemmer ganske dårlig,22 ,25 
Stemmer verken dårlig eller godt,37 ,39 
Stemmer ganske godt,18 ,14 
Stemmer svært godt,11 ,4 
Vet ikke,4 ,8 
