Svar,Mann,Kvinne
Stemmer svært dårlig,23 ,15 
Stemmer ganske dårlig,12 ,13 
Stemmer verken dårlig eller godt,17 ,21 
Stemmer ganske godt,27 ,27 
Stemmer svært godt,19 ,12 
Vet ikke,2 ,12 
