Svar,Mann,Kvinne
Stemmer svært dårlig,11 ,6 
Stemmer ganske dårlig,16 ,12 
Stemmer verken dårlig eller godt,35 ,35 
Stemmer ganske godt,27 ,31 
Stemmer svært godt,5 ,7 
Vet ikke,6 ,10 
