Svar,Mann,Kvinne
Stemmer svært dårlig,39 ,49 
Stemmer ganske dårlig,26 ,25 
Stemmer verken dårlig eller godt,18 ,12 
Stemmer ganske godt,9 ,7 
Stemmer svært godt,5 ,2 
Vet ikke,3 ,5 
