Svar,Mann,Kvinne
(Nesten) Daglig,2 ,2 
Ukentlig,14 ,13 
MÃƒÂ¥nedlig,29 ,28 
Sjeldnere,39 ,42 
Aldri,11 ,10 
Vet ikke,4 ,5 
