Svar,Mann,Kvinne
Stemmer svært dårlig,15 ,8 
Stemmer ganske dårlig,13 ,10 
Stemmer verken dårlig eller godt,32 ,34 
Stemmer ganske godt,23 ,24 
Stemmer svært godt,10 ,11 
Vet ikke,7 ,13 
