Svar,Mann,Kvinne
Stemmer svært dårlig,4 ,6 
Stemmer ganske dårlig,10 ,11 
Stemmer verken dårlig eller godt,31 ,31 
Stemmer ganske godt,26 ,20 
Stemmer svært godt,24 ,9 
Vet ikke,5 ,23 
