Svar,Mann,Kvinne
Stemmer svært dårlig,15 ,8 
Stemmer ganske dårlig,19 ,15 
Stemmer verken dårlig eller godt,33 ,33 
Stemmer ganske godt,20 ,26 
Stemmer svært godt,7 ,8 
Vet ikke,7 ,10 
