;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;2;3;13;38;41;4
2019;1;2;13;35;47;2
2020;2;2;13;35;47;2
2021;1;2;13;33;48;2
2022;2;2;12;33;48;3
2023;2;3;13;34;46;3
2024;2;2;14;31;47;3
