;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;23;21;23;18;8;7
2019;27;20;21;18;9;6
2020;29;20;19;17;10;5
2021;29;20;20;17;10;5
2022;27;18;23;18;10;5
2023;31;18;22;16;8;5
