;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;;;;;;
2019;9;16;25;23;7;21
2020;9;16;27;21;6;19
2021;8;15;26;24;8;19
2022;10;14;26;25;7;18
2023;9;14;26;27;8;16
