;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;1;4;13;41;31;9
2019;2;3;13;37;36;9
2020;6;5;14;36;31;8
2021;9;7;19;34;24;8
2022;9;7;15;34;27;7
2023;11;6;17;34;25;7
