;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;;;;;;
2019;10;17;34;23;6;10
2020;11;19;33;23;6;9
2021;10;18;33;24;7;9
2022;11;15;32;25;7;8
2023;12;17;33;23;8;8
