;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;4;4;19;44;25;4
2019;4;5;22;43;25;2
2020;5;6;25;40;22;1
2021;5;5;26;41;21;2
2022;13;11;28;29;13;6
2023;7;6;27;39;19;2
2024;8;6;28;40;17;2
