;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;40;29;14;8;4;6
2019;42;28;15;7;4;5
2020;41;28;14;7;5;5
2021;45;27;14;7;4;4
2022;46;26;13;7;4;4
2023;44;26;15;8;4;4
2024;44;24;16;6;5;5
