;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;5;16;36;26;5;12
2019;7;17;35;25;4;12
2020;8;19;35;24;4;11
2021;8;16;36;25;5;11
2022;8;14;35;28;6;9
2023;6;14;36;30;6;8
