;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;8;15;33;19;8;17
2019;6;12;34;19;10;18
2020;6;12;33;20;11;18
2021;7;12;34;20;10;17
2022;6;10;27;25;17;14
2023;5;10;31;23;16;14
