;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;7;25;38;16;6;8
2019;6;22;40;17;8;7
2020;8;22;38;17;8;6
2021;9;24;39;16;7;5
2022;8;24;38;16;7;6
2023;9;24;38;16;7;6
2024;7;21;39;18;9;6
