;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;27;24;22;14;7;6
2019;31;21;19;14;9;6
2020;31;20;19;14;9;6
2021;29;18;19;16;10;6
2022;34;18;19;14;10;5
2023;36;18;15;16;10;6
2024;31;17;19;17;11;4
