;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;15;34;25;7;4;15
2019;15;34;25;7;2;16
2020;17;33;27;7;2;14
2021;15;33;29;8;3;12
2022;17;33;26;8;2;12
2023;18;32;28;7;2;13
2024;17;33;27;8;2;13
