;Stemmer svært dårlig;Stemmer ganske dårlig;Stemmer verken dårlig eller godt;Stemmer ganske godt;Stemmer svært godt;Vet ikke
2018;11;11;30;30;13;6
2019;11;9;28;31;14;6
2020;13;10;28;29;15;5
2021;13;11;28;29;14;5
2022;13;11;28;29;13;6
2023;14;11;29;28;13;5
