Unnamed: 0,R,SV,A,MDG,Sp,V,KrF,H,FrP,FNB,INP
Stemmer svært dårlig,10.0,3.0,16.0,2.0,32.0,9.0,27.0,30.0,63.0,33.0,66.0
Stemmer ganske dårlig,10.0,5.0,16.0,3.0,20.0,12.0,18.0,28.000000000000004,17.0,33.0,22.0
Stemmer verken dårlig eller godt,17.0,17.0,30.0,13.0,31.0,21.0,25.0,25.0,13.0,33.0,8.0
Stemmer ganske godt,26.0,27.0,22.0,19.0,13.0,31.0,11.0,9.0,4.0,0.0,1.0
Stemmer svært godt,33.0,43.0,8.0,59.0,1.0,17.0,7.000000000000001,2.0,1.0,0.0,0.0
Vet ikke,4.0,5.0,7.000000000000001,4.0,3.0,8.0,11.0,5.0,2.0,0.0,3.0
