Unnamed: 0,R,SV,A,MDG,Sp,V,KrF,H,FrP,FNB,INP
Stemmer svært dårlig,18.0,13.0,2.0,21.0,2.0,7.000000000000001,4.0,2.0,3.0,0.0,3.0
Stemmer ganske dårlig,21.0,25.0,12.0,32.0,8.0,17.0,16.0,4.0,4.0,0.0,3.0
Stemmer verken dårlig eller godt,30.0,32.0,37.0,23.0,35.0,31.0,36.0,34.0,21.0,67.0,19.0
Stemmer ganske godt,17.0,12.0,25.0,9.0,30.0,23.0,20.0,33.0,28.000000000000004,33.0,26.0
Stemmer svært godt,7.000000000000001,3.0,11.0,5.0,15.0,12.0,13.0,20.0,36.0,0.0,44.0
Vet ikke,7.000000000000001,16.0,14.000000000000002,10.0,10.0,11.0,11.0,8.0,8.0,0.0,5.0
