,Stemmer svært/ganske dårlig,Stemmer verken dårlig eller godt,Stemmer svært/ganske godt,Vet ikke
R,42.0,23.0,28.0,6.0
SV,27.0,23.0,42.0,8.0
A,24.0,21.0,49.0,6.0
MDG,28.0,28.0,37.0,7.0
Sp,53.0,18.0,25.0,4.0
V,29.0,18.0,67.0,2.0
KrF,32.0,18.0,44.0,5.0
H,29.0,18.0,49.0,4.0
FrP,49.0,24.0,23.0,4.0
FNB,66.0,0.0,33.0,0.0
INP,79.0,11.0,9.0,0.0
