Unnamed: 0,R,SV,A,MDG,Sp,V,KrF,H,FrP,FNB,INP
Stemmer svært dårlig,6.0,2.0,9.0,1.0,20.0,3.0,15.0,15.0,26.0,33.0,26.0
Stemmer ganske dårlig,4.0,5.0,16.0,2.0,15.0,6.0,13.0,24.0,17.0,0.0,18.0
Stemmer verken dårlig eller godt,15.0,15.0,28.000000000000004,13.0,23.0,12.0,31.0,27.0,27.0,33.0,14.000000000000002
Stemmer ganske godt,29.0,31.0,28.000000000000004,25.0,22.0,39.0,18.0,17.0,17.0,0.0,19.0
Stemmer svært godt,45.0,45.0,15.0,56.99999999999999,15.0,35.0,16.0,12.0,10.0,0.0,23.0
Vet ikke,1.0,3.0,4.0,3.0,5.0,5.0,7.000000000000001,5.0,4.0,33.0,0.0
