Unnamed: 0,R,SV,A,MDG,Sp,V,KrF,H,FrP,FNB,INP
Stemmer svært dårlig,21.0,7.000000000000001,22.0,3.0,40.0,10.0,24.0,33.0,70.0,0.0,75.0
Stemmer ganske dårlig,15.0,9.0,20.0,3.0,23.0,12.0,24.0,23.0,13.0,67.0,15.0
Stemmer verken dårlig eller godt,21.0,22.0,24.0,11.0,19.0,18.0,25.0,22.0,6.0,33.0,7.000000000000001
Stemmer ganske godt,18.0,31.0,22.0,34.0,13.0,32.0,15.0,14.000000000000002,5.0,0.0,3.0
Stemmer svært godt,23.0,25.0,9.0,44.0,4.0,20.0,7.000000000000001,6.0,2.0,0.0,0.0
Vet ikke,2.0,6.0,3.0,5.0,2.0,7.000000000000001,5.0,2.0,3.0,0.0,0.0
