Unnamed: 0,Stemmer verken dårlig eller godt/vet ikke,Stemmer ganske/svært dårlig,Stemmer ganske/svært godt
R ,43,32,25
SV,41,44,16
Ap,51,11,39
Mdg,43,47,10
Sp,56,8,37
V,53,22,25
KrF,50,14,36
H,40,5,55
FrP,29,4,67
