Unnamed: 0,Stemmer verken dårlig eller godt/vet ikke,Stemmer ganske/svært dårlig,Stemmer ganske/svært godt
R ,20,40,40
SV,26,19,55
Ap,33,44,23
Mdg,18,5,76
Sp,25,58,17
V,33,18,49
KrF,31,47,22
H,18,66,16
FrP,14,82,4
