Unnamed: 0,Stemmer verken dårlig eller godt/vet ikke,Stemmer ganske/svært dårlig,Stemmer ganske/svært godt
R ,19,28,53
SV,20,6,75
Ap,21,7,72
Mdg,22,3,75
Sp,27,21,52
V,19,7,74
KrF,31,17,52
H,19,12,69
FrP,23,34,43
