Unnamed: 0,Stemmer verken dårlig eller godt/vet ikke,Stemmer ganske/svært dårlig,Stemmer ganske/svært godt
R ,24,36,41
SV,39,17,44
Ap,36,39,25
Mdg,18,11,71
Sp,25,66,9
V,29,24,47
KrF,29,49,23
H,21,64,15
FrP,15,80,5
