Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,7 ,8 ,12 ,16 ,12 ,19 
Stemmer ganske dårlig,7 ,4 ,5 ,8 ,10 ,12 
Stemmer verken dårlig eller godt,13 ,17 ,20 ,22 ,14 ,16 
Stemmer ganske godt,37 ,35 ,31 ,28 ,38 ,33 
Stemmer svært godt,29 ,28 ,23 ,20 ,20 ,17 
Vet ikke,8 ,6 ,9 ,6 ,5 ,3 
