Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,11 ,13 ,12 ,13 ,18 ,33 
Stemmer ganske dårlig,14 ,16 ,16 ,17 ,13 ,17 
Stemmer verken dårlig eller godt,27 ,23 ,26 ,30 ,32 ,28 
Stemmer ganske godt,22 ,25 ,24 ,16 ,18 ,13 
Stemmer svært godt,21 ,17 ,13 ,14 ,15 ,4 
Vet ikke,6 ,6 ,9 ,10 ,5 ,4 
