Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,21 ,26 ,28 ,32 ,33 ,38 
Stemmer ganske dårlig,14 ,17 ,14 ,19 ,16 ,20 
Stemmer verken dårlig eller godt,20 ,20 ,25 ,25 ,21 ,20 
Stemmer ganske godt,18 ,17 ,15 ,10 ,16 ,10 
Stemmer svært godt,19 ,13 ,7 ,7 ,7 ,6 
Vet ikke,9 ,7 ,11 ,8 ,7 ,6 
