Alternatives,1,2,3,4,5,6
Stemmer svært dårlig,2 ,2 ,2 ,2 ,3 ,4 
Stemmer ganske dårlig,3 ,2 ,3 ,2 ,5 ,2 
Stemmer verken dårlig eller godt,11 ,11 ,15 ,13 ,15 ,17 
Stemmer ganske godt,28 ,34 ,33 ,40 ,36 ,44 
Stemmer svært godt,53 ,49 ,44 ,40 ,37 ,31 
Vet ikke,3 ,2 ,3 ,3 ,4 ,2 
